DOI,Study_Year,First_Author,Study_Type,Sample_Size_Intervention,Sample_Size_Control,Mean_Change,SD_Change,Effect_Size,P_Value,Evidence_Direction,Primary_Outcome
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,RCT,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Meta-Analysis,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,RCT,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Meta-Analysis,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Meta-Analysis,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Animal Study,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
,2026,,Observational / Clinical,,,,,,Belirtilmemiş,inconclusive,
