İsim,Ay,Durum,Puan /5,Type,Tür,Yazar,Yıl
Anne Frank'in Hatıra Defteri,"Aralık ",Bitti,⭐️⭐️⭐️⭐️,Kitap,Günlük,Anna Frank,2021
Akdeniz,Ocak,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Panait Istrati,2022
Beni Kör Kuyularda,Ocak,Bitti,⭐️⭐️,Kitap,Roman,Hasan Ali Toptaş,2022
Boyalı Peçe,Ağustos,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Somerset Maugham,2022
Benim Hüzünlü Orospularım,Mart,Bitti,⭐️⭐️,Kitap,Roman,Gabriel Garcia Marquez,2022
Ay Işığı Sokağı,Ağustos,Bitti,⭐️⭐️⭐️⭐️,Kitap,Öykü,Stefan Zweig,2022
Bağlar,Ağustos,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Domenico Starnone,2022
Ermiş,Mart,Bitti,⭐️⭐️⭐️⭐️,Kitap,Öykü,Halil Cibran,2022
Dünyanın Tekdüzeleşmesi,Mayıs,Bitti,⭐️⭐️⭐️,Kitap,Fikir,Thomas Bauer,2022
Dublinliler,Nisan,Bitti,⭐️⭐️⭐️,Kitap,Roman,James Joyce,2022
Doppler,Ağustos,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Erland Loe,2022
Evolving Human Nutrition,Şubat,Bitti,⭐️⭐️⭐️,Kitap,Akademik,Stanley Vlijaszek,2022
Çiğdem Külahı,Mart,Bitti,⭐️⭐️⭐️⭐️,Kitap,Öykü,Ahmet Büke,2022
Doğum Lekesi Gibi Bir Gülümseme,"Aralık ",Bitti,⭐️⭐️⭐️,Kitap,Roman,Barış Bıçakçı,2021
Cehenneme Övgü,Şubat,Bitti,⭐️⭐️⭐️,Kitap,Fikir,Gündüz Vassaf,2022
Dünya Nimeti,Temmuz,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Knut Hamsun,2022
Gönül Bir Yel Değirmenidir Sevda Öğütür,Nisan,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Hüseyin Rahmi Gürpınar,2022
Hakkari’de Bir Mevsim,Ağustos,Bitti,⭐️⭐️,Kitap,Roman,Ferit Edgü,2022
Gulyabani,Haziran,Bitti,⭐️⭐️⭐️,Kitap,Roman,Hüseyin Rahmi Gürpınar,2022
İnce Memed I,Mayıs,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Yaşar Kemal,2022
Food Cults,Şubat,Bitti,⭐️⭐️⭐️,Kitap,Akademik,Kima Cargill,2022
Felatun Bey ile Rakım Efendi,Mayıs,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Ahmet Mithat Efendi,2022
Feniçka,Nisan,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Salome,2022
Gülün Adı,Haziran,Bitti,⭐️⭐️⭐️,Kitap,Roman,Umberto Eco,2022
Hazan Bülbülü,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Hüseyin Rahmi Gürpınar,2022
Fink,"Aralık ",Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Murat Menteş,2021
İnsanlığımı Yitirirken,Ağustos,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Osamu Dazai,2022
Muhteşem Gatsby,Ağustos,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,F. Scott Fitzgerald,2022
Meczup,Mayıs,Bitti,⭐️⭐️⭐️,Kitap,Öykü,Halil Cibran,2022
Kara Kitap,Şubat,Bitti,⭐️,Kitap,Roman,Orhan Pamuk,2022
Kıyamet Park,Ocak,Bitti,⭐️⭐️⭐️,Kitap,Roman,Alper Canıgüz,2022
İnsanlar Arasında,Mart,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Maksim Gorki,2022
İtalya’da Bir Türk Sevdim,Mayıs,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Christina Comencini,2022
Kiralık Konak,Nisan,Bitti,⭐️⭐️⭐️,Kitap,Roman,Yakup Kadri Karaosmanoğlu,2022
Maşenka,Eylül,Bitti,⭐️⭐️⭐️,Kitap,Roman,Vladimir Nabokov,2022
Nasıl Ölünür,Haziran,Bitti,⭐️,Kitap,Roman,Emile Zola,2022
Oliver Twist,Mart,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Charles Dickens,2022
Pal Sokağı Çocukları,Mart,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Ferenc Molnar,2022
Piramit,Ocak,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,William Golding,2022
