İsim,Durum,Yazar,Tür,Puan /5,Ay,Yıl
The Arts of Statistics,Bitti,David Spiegelhalter,Akademik,⭐️⭐️⭐️⭐️,Ocak,2023
Karanlık Bir Dünyada Bilimin Mum Işığı,Bitti,Carl Sagan,Fikir,⭐️⭐️⭐️⭐️⭐️,Haziran,2023
İlkgençlik Çağına Öyküler 2,Bitti,Selim İleri,Öykü,⭐️⭐️⭐️⭐️,Ocak,2023
Sessizliğe Hayranlık,,Abdulrazak Gurnah,Roman,⭐️⭐️⭐️⭐️⭐️,Ocak,2023
Shuggie Bain,Bitti,Douglas Stuart,Roman,⭐️⭐️⭐️⭐️⭐️,Ocak,2023
Zamanımızın Bir Kahramanı,Bitti,Mihail Lermontov,Roman,⭐️⭐️⭐️⭐️⭐️,Ocak,2023
Kötü Adamın On Günü,Bitti,Mehmet Eroğlu,Roman,⭐️⭐️⭐️⭐️⭐️,Ocak,2023
Bu Hikaye Senden Uzun Osman,Bitti,Aylin Balboa,Öykü,⭐️⭐️,Şubat,2023
İnce Memed 2,Bitti,Yaşar Kemal,Roman,⭐️⭐️⭐️⭐️,Şubat,2023
Köken,Bitti,Sasa Stanisic,Roman,⭐️⭐️⭐️,Şubat,2023
Sevda Dolu Bir Yaz,Bitti,Firüzan,Öykü,⭐️⭐️⭐️⭐️,Şubat,2023
Efsuncu Baba,Bitti,Hüseyin Rahmi Gürpınar,Roman,⭐️⭐️⭐️,Şubat,2023
Çingene,Bitti,Ahmet Mithat Efendi,Roman,⭐️⭐️⭐️,Şubat,2023
Boş Dolaplar,Bitti,Annie Ernaux,Roman,⭐️⭐️⭐️⭐️⭐️,Nisan,2023
Yerdeniz Büyücüsü,Bitti,Ursula K. Le Guin,Roman,⭐️⭐️⭐️,Mart,2023
Kesin İnançlılar,Bitti,Eric Hoffer,Fikir,⭐️⭐️⭐️⭐️⭐️,Haziran,2023
Aklın İşlevi,Bitti,Alfred North Whitehead,Fikir,⭐️⭐️⭐️,Eylül,2023
Cebelavi Sokağı’nın Çocukları,Bitti,Necib Mahfuz,Roman,⭐️⭐️⭐️⭐️,Haziran,2023
Mutsuzluk Zamanlarında Mutluluk,Bitti,Wilhelm Genazino,Roman,⭐️⭐️⭐️⭐️⭐️,Haziran,2023
Zeka Tuzağı,Bitti,David Robson,Fikir,⭐️⭐️⭐️⭐️⭐️,Haziran,2023
Goncanın Üçüncü Günü,Bitti,Yücel Balku,Öykü,⭐️⭐️⭐️⭐️⭐️,Temmuz,2023
Kent ve Köpekler,Bitti,Mario Vargas Llosa,Roman,⭐️⭐️⭐️⭐️⭐️,Temmuz,2023
Yeni Bilim Bağlantısallık,Bitti,Türker Kılıç,Fikir,⭐️⭐️⭐️⭐️,Temmuz,2023
Tamirci,Bitti,Bernard Malamud,Roman,⭐️⭐️⭐️⭐️,Temmuz,2023
Aşk Konuştuğumuzda Ne Konuşuruz,Bitti,Raymond Carver,Öykü,⭐️⭐️⭐️⭐️⭐️,Temmuz,2023
Lady Chatterley’nin Aşığı,Bitti,D.H. Lawrence,Roman,⭐️⭐️⭐️⭐️,Eylül,2023
Yalancı Tanıklar Kahvesi,Bitti,Vedat Türkali,Roman,⭐️⭐️⭐️⭐️⭐️,Eylül,2023
Lanetli Tavşan,Bitti,Bora Chung,Öykü,⭐️⭐️⭐️,Eylül,2023
Burn,Bitti,Herman Pontzer,Akademik,⭐️⭐️⭐️⭐️,Kasım,2023
Temel Parçacıklar,Bitti,Michel Houellebecq,Roman,⭐️⭐️⭐️⭐️,Ekim,2023
"Cadılar, Ebeler ve Hemşireler",Bitti,Barbara Ehrenreich,Fikir,⭐️⭐️⭐️,Kasım,2023
Fikrimin İnce Gülü,Bitti,Adalet Ağaoğlu,Roman,⭐️⭐️⭐️⭐️,Kasım,2023
Martin Eden,Bitti,Jack London,Roman,⭐️⭐️⭐️⭐️⭐️,Kasım,2023
Yedi Boş Ev,Bitti,Samantha Schweblin,Öykü,⭐️⭐️⭐️⭐️⭐️,"Aralık ",2023
Tıkanma,Bitti,Chuck Palahniuk,Roman,⭐️⭐️⭐️⭐️⭐️,"Aralık ",2023
