File33;Yazarlar;Yıl;Nitelik;Alan;Algoritma/Teknik;Odak Katman;Augmented Aşama;Özel Notlarım;Yöntem;Bulgular;DOI
AI powered dietary proportion assessment for improving accuracy and practicality of the balanced meal plate model;Worasit Choochaiwattana, Patinya Jaruariyanon, Assaree Jitpranee, Rawirin Deecharoen, Thanaporn Kaewpradup, Charoonsri Chusak, Sirichai Adisakwattana;2025;-;-;-;-;-;;The 2:1:1 dietary proportion model, promoting balanced eating, 20 faces challenges in practical application due to difficulty in visually 21 estimating portion sizes. To address this, we developed an artificial 22 intelligence (AI)-based application to assist in the accurate assessment of 23 2:1:1 dietary proportion. This study demonstrated the accuracy of the AI 24 application compared to estimates made by nutrition and dietetics 25 students (ND) and registered dietitians (RD), while also assessing user 26 satisfaction and attitudes. The AI application was trained using images of 27 three popular Thai dishes: Hainanese Chicken Rice, Shrimp Paste Fried 28 Rice, and Egg Noodle, each prepared in three portion variationThese weight-based proportions were established as the reference 387 standard for training and evaluating the AI model. Although the AI model 388 estimates visual area proportions based on image analysis, the reference 389 standard for model validation was derived from the exact weight 390 measurements to ensure data integrity. Additionally, pixel-wise 391 annotations were performed to visually segment each food component 392 within the images, representing relative area proportion;The AI 29 system demonstrated significantly lower mean absolute error (MAE) than 30 both ND and RD groups in estimating proportions for Hainanese Chicken 31 Rice and Shrimp Paste Fried Rice (p < 0.05), indicating superior accuracy. 32 User satisfaction surveys revealed that 61% of participants rated their 33 overall experience with the application as moderate, with suggestions for 34 improving accuracy. Over half agreed that the AI tool shows potential as a 35 practical resource for nutrition education and dietary assessmentThe AI-Based application demonstrated superior accuracy in 223 estimating dietary proportions compared to human estimators, 224 particularly for complex Asian dishes like Hainanese Chicken Rice and 225 Shrimp Paste Fried Rice;10.1038/s41598-025-29631-w
AI-driven personalized nutrition RAG-based digital health solution for obesity and type 2 diabetes;Anand K. Gavai, Jos Van Hillegersberg;2025;-;-;-;-;-;biz de tüber için tarifler oluşturan bir arayüz ekleyebiliriz proje fikrim için.;Here, we present an artificial intelligence (AI) driven dietary recommendation system that generates personalized smoothie recipes while prioritizing health outcomes and environmental sustainability. A key feature of the system is the “virtual nutritionist”, an iterative validation framework that dynamically refines recipes to meet predefined nutritional and sustainability criteria. The system integrates dietary guidelines from the National Institute for Public Health and the Environment (RIVM), EUFIC, USDA FoodData Central, and the American Diabetes Association with retrieval-augmented generation (RAG) to deliver evidence-based recommendationsBy aligning with the United Nations Sustainable Development Goals (SDGs), the system promotes plant-based, seasonal, and locally sourced ingredients to reduce environmental impact. We leverage explainable AI (XAI) to enhance user engagement through clear explanations of ingredient benefits and interactive features, improving comprehension across varying health literacy levels. Using zero-shot and few-shot learning techniques, the system adapts to user inputs while maintaining privacy through local deployment of the LLaMA3 model.ingredients. We’ve built in a “virtual nutritionist” that checks and refines each recipe to ensure it aligns with nutrition and environmental goals;In evaluating 1,000 recipes, the system achieved 80.1% adherence to health guidelines meeting targets for calories, fiber, and fats and 92% compliance with sustainability criteria, emphasizing seasonal and locally sourced ingredients.Unlike many AI tools, ours runs locally, keeping personal data private and secure. In testing, 80% of the recipes met strict nutritional targets, and 92% used sustainable ingredients. A web app lets users receive their personalized recipes in real time, with clear explanations for every choice made.This study demonstrates the successful implementation of a Retrieval-Augmented Generation (RAG) system that translates Dutch dietary guidelines into actionable smoothie recipes for managing obesity and type 2 diabetes;10.1371/journal.pdig.0000758
An AI-enabled mHealth integrated care solution for the management of Metabolic-Associated Steatotic Liver Disease;Simone Kresevic, Mauro Giuffrè, Carlo Moretto, Lorenzo Zucchini, Aleksandar Miladinović, Maria Bongiovanni, Alberto Bortolotto, Marina Discipio, Alex Buoite Stella, Agostino Accardo, Lory Saveria Crocè, Miloš Ajčević;2025;-;-;-;-;-;;We aimed to design and develop a patient-centered, mHealthenabled integrated care application (named AI-MASLD) that empowers patients and enhances their management through a human-in-the-loop AI approach.The developed system features a patient-centered mobile app with gamified self-management tools for diet and physical activity tracking as well as stress monitoring. Healthcare professionals have access to a dashboard with role-specific tools, allowing physicians, dietitians, and physiotherapists to provide tailored care and approve AI-generated recommendationEarly prototypes were regularly shared with clinicians and general user to identify usability issues, refine interface design, and optimize functionalities such as gamification, recommendation clarity, and overall user experience.The server side is supported by a robust cloud infrastructure responsible for processing data and executing AI-driven decision support, thereby enabling a seamless integration of advanced functionalitiesData processing and AI layer: a Large Language Model (e.g., Llama 3.2 3B) in the role of an AI-agent allows interaction with the patient data, patient inputs and could also be integrated with ML algorithms. It orchestrates data processing to identify trends and risks, and generate explainable, personalized recommendations;In this study, we designed and developed AI-MASLD, an AI-powered mHealth platform aimed at enhancing MASLD management by integrating human-in-the-loop AI, decision support, and gamification strategies. By fostering collaboration among primary care, hospital, and social care professionals, AI-MASLD offers an integrated care solution that enhances patient rehabilitation and engagement.By adopting a human-in-the-loop approach, the platform ensures that AI-generated recommendations are validated by healthcare professionals, improving the safety and relevance of clinical interventions.;10.1109/EMBC58623.2025.11253032
Application of Artificial Intelligence to Lipid Nutrition A Narrative Review;Elena N. Naumova, Andrea Hsieh, Rinat Rivka Ran‐Ressler, Chang Woon Jang, Samantha L. Huey, Fabiola Dionisi;2025;-;-;-;-;-;;his narrative review highlights AI applications in medicine and pharmaceuticals through a nutrition lens and examines emerging opportunities in lipid nutrition. Beginning at the molecular level with nutrient interactions, lipidomics, and modes and mechanisms of action (MoA), we describe potential applications of AI tools at the community level and global level for personalized nutrition, health claims, product development, and ultimately predictions for public health.;databases. AI methodologies are well-positioned to transform nutrition research and practice by assisting in data collection, processing, and analysis; monitoring nutritional status of populations; elucidating MoA; predicting bioactive compounds, nutrients, and the health effects of diets; and facilitating nutrition recommendations tailored to individualsions in medicine and drug discovery that can inspire the use of AI in lipid nutrition are concentrated in four fields: • Screening of large chemical (drugs) libraries, identifying disease-associated targets, and analyzing preclinical and clinical data (Turabi et al. 2022; Gao et al. 2021) • Design and optimization of preclinical and clinical trials, predicting potential drug targets, binding affinities of drug candidates, off-target effects, toxicity, patient responses, adverse events, modeling pharmacokinetics and pharmacodynamics to predict clinical outcomes (Wang, Qiu, et al. 2022; Wang, Bouzembrak, et al. 2022) • Understanding the MoA, a key step to drug discovery and repurposing and the key challenge related to using the right data in the right format and for the intended purpose (Palermo  2023; Bender and Cortés-Ciriano  2021a, 2021b, Part 1 and 2) • Understanding animal and human metabolism, from genes to metabolites, expressed phenotypes, therapeutic impact, toxicology, and safetyAI and ML techniques can identify clinically relevant biomarkers from lipidomics data, enabling the early diagnosis of various diseases. Table S2 summarizes recent studies published from the past 4 years that utilize popular ML techniques in lipidomics investigationUsing ML to identify clinical lipids offers several advantages. Automated ML models can process vast amounts of data quickly, providing timely predictions that can aid in early diagnosis and intervention. The integration of ML in predicting clinical lipids demonstrates significant potential in enhancing early diagnosis and intervention for lipid-related disorders.Both successful and unsuccessful attempts to apply AI tools to the growing field of lipid research and product development reveal the critical needs for (a) terminology, concepts, and data standardization, documentation, and harmonization; (b) data availability, accessibility, and credibility; (c) metrics for models' performance, scalability, interoperability, and interpretability; (d) better understanding the sources of algorithmic biases and implications of data bias for model training; and (e) addressing data privacy concerns and regulatory compliance.;10.1002/lipd.70000
An Evaluation of ChatGPT for Nutrient Content Estimation from Meal Photographs;Cathal O’Hara, Gráinne Kent, Angela C. Flynn, Eileen R. Gibney, Claire M. Timon;2025;-;-;-;-;-;;This study aimed to evaluate the accuracy of ChatGPT-4 in estimating nutritional content of commonly consumed meals using meal photographs derived from national dietary survey daMethods: Meal photographs (n = 114) were uploaded to ChatGPT and it was asked to identify the foods in each meal, estimate their weight, and estimate the nutrient content of the meals for 16 nutrients for comparison with the known values using precision, paired t-tests, Wilcoxon signed rank test, percentage difference, and Spearman correlation (rs). Seven dietitians also estimated energy, protein, and carbohydrate content of thirty-eight meal photographs for comparison with ChatGPT using intraclass correlation;Results: Comparing ChatGPT and actual meals, ChatGPT showed good precision (93.0%) for correctly identifying the foods in the photographs. There was good agreement for meal weight (p = 0.221) for small meals, but poor agreement for medium (p < 0.001) and large (p < 0.001) meals. There was poor agreement for 10 of the 16 nutrients (p < 0.05). Percentage difference from actual values was >10% for 13 nutrients, with ChatGPT underestimating 11 nutrients. Correlations were adequate or good for all nutrients with rs ranging from 0.29 to 0.83. When comparing ChatGPT and dietitians, the ICC ranged from 0.31 to 0.67 across nutrients.It performed comparably to dietitians, with the intra-class correlation ranging from poor to good depending on the nutrient, with the best agreement for protein, followed by energy, and then carbohydrate.;10.3390/nu17040607
Applications of generative and predictive AI in nutrition and dietetics a narrative review;Hatice Merve Bayram, Arda Ozturkcan;2025;-;-;-;-;-;;This review aims to identify the strengths and limitations of these models, assess their potential as decision- support tools for healthcare professionals, and shed light on the existing gaps in the field. A comprehensive literature search was conducted using PubMed, Scopus, Web of Science, and Google Scholar databases to identify relevant studies published between January 2019 and May 2025.;The main findings suggest that the application of AI in nutrition is still emerging, with the majority of studies centered on dietary assessment. There is comparatively less emphasis on food estimation, disease prediction, lifestyle interventions, and understanding diet-related diseasesBy categorizing findings into specific nutritional areas such as dietary assessment, obesity management, food estimation, and personalized nutrition, this review offers a thematic perspective that enhances clarity and allows for comparative insight across applications. Another key strength is the inclusion of diverse AI approaches, including ML, DL, LLMs, and IoT-integrated systems, which provides a holistic overview of technological diversity in the field. Moreover, this review prioritizes studies with empirical findings, avoiding editorials and theoretical commentaries. This approach enhances the practical relevance and real-world applicability of the conclusions drawn. The focus on both strengths and limitations of AI-generated outputs, particularly in clinical and sensitive populations, provides a balanced view and contributes to a more nuanced understanding of AI’s readiness for integration into nutrition practice.;10.1080/17538157.2025.2560834
Applying a Robust Deep Learning Model to Assess the Remaining Amount of Foods With High Glycemic Index in Taiwanese Hospital Diabetic Meals;Hsien-Yu Fan, Pey-Rong Chen, Ya-Ting Kuo, Yu-Tien Chang, Kuo-Liong Chien, Yung-Chi Lu, Shih-Lin Hung, Shih-Ming Chuang, Ying-Yueh Chu;2025;-;-;-;-;-;;this study aims to enhance portion size estimation methods, with a particular focus on rice and congee, using milk as a low-glycemic index reference in selected Taiwanese hospitals.We used a RealSense D435i depth camera to capture both 2-dimensional (2D) and 3-dimensional (3D) images of rice, congee, and milk served in standard hospital bowls. The images were labeled and classified by a convolutional neural network, Xception, whereas food weight and volume were estimated using 25 depth points with multiple perceptron (MLP) models. MLP models were trained on 80% of the data set and tested on the remaining 20%, with predictions refined through a weighted ensemble of selected MLP models. We validated the MLP model performance through 3 comparisons: 1) MLP with traditional statistical methods (linear regression), 2) MLP with clinical dietitians, and 3) MLP performance across 3 different hospital settings.;findings The Xception model demonstrated strong performance in classifying foods with high glycemic index and milk as a low- glycemic reference, showing steadily increasing accuracy and decreasing loss during training, suggesting effective learning and minimal overfitting. In our quantitative analysis of hospital leftover foods, MLP models accurately predicted the weights of rice and congee, as well as the volume of fresh milkfood types, the models consistently outperfotional linear regression, showing lower RMSE and values.Furthermore, when compared with estimates from 6 experi­ enced dietitians, the MLP models again showed superior accu­ racy. Notably, the model’s performance remained consistent across 3 different hospital sites, indicating strong generalizability.ocket expenses, all pa­ This study offers a potential solution to the shortage of dietitian resources in Taiwanese hospitals. By using CNN and MLP models to identify and quan­ tify the remaining grams of high-GI foods when meals are returned, our MLP model has achieved a margin of error of <3% in gram estimationelectronic medical;10.1016/j.cdnut.2025.107569
A cross-sectional study of the artificial intelligence and metaverse for healthy food and skin health;Jinkyung Lee, Ki Han Kwon;2025;-;-;-;-;-;anlamadım bu çalışmayı AI ile ne alaka?;Background: This study investigated nutritional information for a healthy and beautiful life of Koreans, focusing on the need for diet and nutritional supplements for each disease according to health status based on big data in 2012 when the swine flu was prevalent.Post-COVID-19, research on health should be conducted systematically, and nutrition education and product development for sustainable health and beautiful life should be conducted worldwide. This study was conducted to find out health information by age group for artificial intelligence (AI) and metaverse app development in the Web 3.0 era, reflecting the interest in and need for healthy living, beauty information, and functional diet as infectious diseases are recurring around the world. Methods: This study was conducted using data from the 5th Korea National Health and Nutrition Examination Survey (KNHANES V-3) in 2012. Nutrition information was surveyed on 7,214 people aged 1 year or older.This study was conducted to find out health information by age group for artificial intelligence (AI) and metaverse app development in the Web 3.0 era, reflecting the interest in and need for healthy living, beauty information, and functional diet as infectious diseases are recurring around the worldThis research was conducted to find out health information by age group for AI and metaverse app development in the Web 3.0 era for sustainable life, cosmetology, and for treating the dermatological disorders for people around the worl;In addition, by developing content in AI and the metaverse in the Web 3.0 era, the possibility of continuous improvement and development of sustainable living, beauty, and dermatological diseases for people around the world was confirmed.Finally, AI and the metaverse have been utilized in various fields of health and beauty digitally.;10.21037/jmai-24-189
A Virtual Simulator to Improve Weight-Related Communication Skills for Health Care Professionals Mixed Methods Pre-Post Pilot Feasibility Study;Fiona Quigley, Leona Ryan, Raymond Bond, Toni McAloon, Huiru Zheng, Anne Moorhead;2025;-;-;-;-;-;;offers a promising route to build communication skills through supporting repeatable and reflective practice in a safe space. VITAL-COMS (Virtual Training and Assessment for Communication Skills) is a novel simulation tool designed to support health care professionals in navigating weight-related conversations with greater understanding and skilThis study aimed to assess the potential of VITAL-COMS as a digital simulation training tool to improve weight-related communication skills among health care professionals.The VITAL-COMS virtual simulator was developed using the Unity 3D game engine (version 2019.3.5f). Development incorporated a suite of Unity’s C# libraries to construct the user interface and implement speech simulation for the virtual patients. 3D character models were generated using Adobe Mixamo, and the Unity add-on components SALSA LipSync, EmoteR, and Eyes were integrated to facilitate realistic speech articulation and emotional expression in the virtual patients. The tool comprised a pretraining stage of watching short educational videos on obesity science, weight-related communication, and weight stigma, then using the simulation too;study. There was a statistically significant improvement in self-assessed communication skills following training (mean difference=3.9; 95% CI, 2.54‐5.26; t30=−5.76, P=.001, Cohen d=1.03). Mean conversation length increased significantly in both scenarios: in the female patient scenario, from 3.73 (SD 1.36) to 6.08 (SD 2.26) minutes, with a mean difference of 2.35 minutes (95% CI, 1.71‐2.99; t30=7.49, P=.001, Cohen d=1.34); and in the male scenario, from 3.61 (SD 1.12) to 5.65 (SD 1.76) minutes, a mean difference of 2.03 minutes (95% CI, 1.51‐2.55; t30=8.03, P=.001, Cohen d=1.44).health care and 84% (95%sted weight-related communication training tool Participants demonstrated statistically significant improvements in self-assessed weight-related communication skills following training with VITAL-COM;10.2196/65949
A Scoping Review of Artificial Intelligence for Precision Nutrition;Xizhi Wu, David Oniani, Zejia Shao, Paul Arciero, Sonish Sivarajkumar, Jordan Hilsman, Alex E Mohr, Stephanie Ibe, Minal Moharir, Li-Jia Li, Ramesh Jain, Jun Chen, Yanshan Wang;2025;-;-;-;-;-;açık datasetlerle ilgili güzel bir tablo var.;needed. This scoping review examines: 1) the current landscape, including publication venues, targeted diseases, AI applications, methods, evaluation metrics, and considerations of minority and cultural factors; 2) common patterns in AI-driven precision nutrition studies; and 3) gaps, challenges, and future research directions. Following the Preferred Reporting Items for Systematic reviews and Meta-Analyses extension for Scoping Reviews (PRISMA-ScR) process, we extracted 198 articles from major databases using search keywords in 3 categories: precision nutrition, AI, and natural language processing. The extracted literature reveals a surge in AI-driven precision nutrition research, with ~75% (n ¼ 148) published since 202This literature review includes articles discussing the latest advancements in AI and their applications in precision nutrition.;It also showcases a diverse publication landscape, with the majority of studies focusing on diet-related diseases, such as diabetes and cardiovascular conditions, while emphasizing health optimization, disease prevention, and management. We highlight diverse datasets used in the literature and summarize methodologies and evaluation metrics to guide future stuSpecifically, the journals were manually classified into five distinct categories: 1) Clinical Medicine (articles n ¼ 45; venues n ¼ 33), 2) Food & Nutrition Science (articles n ¼ 35; venues n ¼ 18), 3) Informatics (articles n ¼ 27; venues n ¼ 19), 4) Computer Science (articles n ¼ 21; venues n ¼ 18), and 5) Biology (articles n ¼ 16; venues n ¼ 10). This distribution reflects a high level of interest and activity in Clinical Medicine and Informatics, suggesting a strong focus on applying AI techniques in clinical settings for personalized nutrition interventions or medical applications. The significant presence of Food & Nutrition Science and Computer Science underscores the interdisciplinary efforts in applying AI to tackle precision nutrition challenges. Meanwhile, the comparatively smaller contributions from biology suggest a greater emphasis on basic research within the field.diseases. Overall, the top three most studied diseases among the 99 publications are: diabetes (n ¼ 67), cardiovascular diseases (n ¼ 23), and cancers (n ¼ 12). Less studied diseases are: gastrointestinal disorders (n ¼ 6), neurodegenerative diseases (n ¼ 5), eating disorders (n ¼ 4), mental health disorders (n ¼ 2), obesity (n ¼ 1), eye fatigue (n ¼ 1), COVID-19 (n ¼ 1), food allergies (n ¼ 1), and skin disease (n ¼ 1).From the included studies, the main applications of AI in precision nutrition are 1) health optimization (n ¼ 106), 2) disease prevention (n ¼ 60), and 3) disease management (n ¼ 64). Each reviewed article was manually categorized into one or more of these three categories.Among the 198 reviewed articles, 135 explicitly mentioned the use of 1 certain dataset, totaling 122 unique datasets. Except for ten datasets that are not publicly available, remaining datasets either have an open access link or can be requested from the authors.Evaluation and Survey datasets are mostly the data collected from researchers’ proposed surveys or directly collected from social media platforms or prototypes, such as recruited participants’ interviews, patients’ conversations with chatbots, participants’ browsing history, and posts and feedback from the Reddit subcommunAI methods Various AI methods have significantly advanced precision nutrition research, playing a crucial role in uncovering new health patterns from patient data, developing personalized nutritional recommendation systems, and creating healthcare management systems. Out of the 198 reviewed articles, 172 have utilized more than one AI method in their reseThe AI methods employed in the 172 articles are categorized into 8 distinct categories: 1) conventional AI methods (n ¼ 129), 2) ensemble learning (n ¼ 87), 3) neural networks (n ¼ 61), 4) representation learning (n ¼ 14), 5) GenAI (n ¼ 13), 6) expert systems (n ¼ 12), 7) logic methods (n ¼ 8), and 8) reinforcement learning (n ¼ 4).Conventional AI methods are the most commonly used AI methods overall. Conventional AI methods include rule-based AI methods that operate on predefined rules and logic. In our reviewed literature, conventional AI methods include regression methods such as support vector machine (SVM) (n ¼ 17), linear regression (n ¼ 8), and generalized linear model (n ¼ 3); clustering methods such as k-means (n ¼ 10), k-nearest neighbors (n ¼ 6), hierarchical (n ¼ 4), and Gaussian mixture model (n ¼ 2); feature extraction and selection methods such as elastic net (n ¼ 7), attributable components analysis (n ¼ 3), least absolute shrinkage and selection operator (LASSO) (n ¼ 3), principal component analysis (PCA) (n ¼ 3), linear discriminant analysis (LDA) (n ¼ 2), Pearson correlation (n ¼ 1), canonical correlation analysis (n ¼ 1), and inverse document frequency (n ¼ 1), and other classical methods such as decision tree (n ¼ 21) and logistic regression (n ¼ 20)In addition to the converntional AI methods, the second most commonly used method in the reviewed articles is ensemble learningNeural networks are the third most popular method in the precision nutrition studies we revieweThe top ten evaluation metrics relate to AI model performance in precision nutrition are accuracy (n ¼ 39), precision (n ¼ 29), recall (n ¼ 25), F1 score (n ¼ 22), area under the receiver operating characteristic curve (AUROC) (n ¼ 12) (n ¼ 10), P value (n ¼ 7), sensitivity and specificity (n ¼ 6), and mean squared error (MSE) (n ¼ 5)Among the 198 reviewed articles, 12 articles were identified to include minority information. These articles were further reviewed and individually analyzed for factors commonly observed to affect health outcomes in minority groups, such as: 1) socioeconomic factors, 2) cultural sensitivity, 3) technology accessibility/digital literacy, 4) personalized nutrition needs, 5) ethical and privacy concerns, 6) community-based approaches, and 7) policy and advocacy. This section synthesizes findings from these 12 selected articles and identifies the targeted key factors, practical applications, and recommendations for future research in AI and precision nutritionIn this review, we systematically examined the AI for precision nutrition literature on publication venues, disease targeted, precision nutrition applications using AI, datasets, AI methods and evaluation metrics, and minority and culture. The reviewed literature highlights a rapidly growing and expanding field. By summarizing disease areas, available datasets, applicable AI methods, and many more future topics, we believe that this literature review summarized available materials and possible directions for future research in precision nutrition and AI.;10.1016/j.advnut.2025.100398
